rebore [01/,ri:'bɔ:/]	[01* ngđtừ]\n- (kỹ) khoan lại
reckon [01/'rekən/]	[01* ngđtừ]\n- tính, đếm\n[02= to reckon the cost] tính phí tổn\n- ((thường) +[02among, in]) tính vào, kể vào, liệt vào, tính đến, kể đến\n[02= to reckon someone among the great writers] kể (liệt) ai vào số những nhà văn lớn\n[02= I've reckoned that in] tôi đã tính (kể) đến điều đó\n- coi\n[02= this book is reckoned as the best of the year] quyển sách này được coi là quyển sách hay nhất trong năm\n[02= to be reckoned a clever man] được coi là một người thông minh\n- cho là, đoán\n[02= I reckon it will rain] tôi cho là trời sẽ mưa\n[02= I reckon he is forty] tôi đoán là ông ta bốn mươi tuổi\n[01* nđtừ]\n- tính, đếm\n[02= to learn to reckon] học tính\n[02= reckoning from today] tính (kể) từ ngày hôm nay\n- (+[04 on, upon]) dựa vào, tin cậy vào, trông cậy vào\n[02= to reckon upon someone's friendship] trông cậy vào tình bạn của ai\n- (Mỹ) nghĩ, tưởng\n[02= he is very clever, I reckon] hắn ta thông minh lắm, tôi nghĩ vậy\n[04! to reckon up]\n- cộng lại, tính tổng cộng, tính gộp cả lại\n[02= to reckon up the bill] cộng tất cả các khoản trên hoá đơn\n[04! to reckon with]\n- tính toán đến; thanh toán (đen & bóng)\n[02= to reckon with somebody] tính đến ai; thanh toán với ai\n[04! to reckon without one's host]\n- xem [03host] 
reckonable	[01* ttừ]\n- có thể tính được, có thể đếm được
reckoner [01/'rekənə/]	[01* dtừ]\n- người tính\n- (như) [03ready-reckoner] 
reckoning [01/'rekəniη/]	[01* dtừ]\n- sự tính, sự đếm, sự tính toán\n[02= by my reckoning] theo sự tính toán của tôi\n[02= to be good at reckoning] tính đúng\n[02= to be out in one's reckoning] tính sai (bóng)\n- giấy tính tiền (khách sạn, nhà trọ...)\n- sự thanh toán (đen & bóng)\n[02= day of reckoning] ngày thanh toán; (bóng) ngày đền tội\n- sự tính đến, sự kể đến, sự xét đến, sự đếm xỉa đến\n[02= to make no reckoning of something] không kể đến cái gì\n- (hàng hải) điểm đoán định (vị trí của tàu)((cũng) [03dead reckoning] )\n[04! short reckonings make long friend]\n- (tục ngữ) tính toán phân minh giữ được tình bạn lâu dài
reclaim [01/ri'kleim/]	[01* dtừ]\n- past reclaim; beyond reclaim không thể cải tạo được\n[01* ngđtừ]\n- cải tạo, giác ngộ\n[02= to reclaim someone from a vice] cải tạo ai làm cho chừa bỏ một tật xấu\n[02= to reclaim someone to a sense of duty] giác ngộ cho ai có tinh thần trách nhiệm\n- (nông nghiệp) khai hoang, vỡ hoang; cải tạo (đất), làm khô (bâi đất lầy để cày cấy)\n[02= to reclaim land] khai hoang đất\n[02= reclaimed land] đất vỡ hoang\n- thuần hoá (thú rừng) ; khai hoá, làm cho văn minh\n[02= to reclaim a wild animal] thuần hoá một thú rừng\n- đòi lại\n[02= to reclaim one's money] đòi tiền lại\n[01* nđtừ]\n- (hiếm) phản đối, khiếu nại
reclaimable [01/ri'kleiməbl/]	[01* ttừ]\n- có thể cải tạo, có thể giác ngộ\n- (nông nghiệp) có thể khai hoang; có thể cải tạo, có thể làm khô (đất, đồng lầy) 
reclaimation [01/,reklə'mei∫n/]	[01* dtừ]\n- sự cải tạo, sự giác ngộ\n- (nông nghiệp) sự khai hoang; sự cải tạo, sự làm khô (bãi lầy)\n- sự thuần hoá (thú rừng) ; sự khai hoá\n- sự đòi lại\n- (hiếm) sự phản đối, sự khiếu nại
réclame [01/rei'klɑ:m/]	như [03reynard]
reclassify [01/ri:'klæsifai/]	[01* ngđtừ]\n- phân loại lại
recleaning [01/ri:'kli:niη/]	[01* dtừ]\n- sự làm sạch lại
