reveler [01/'revələ/]	[01* dtừ]\n- người tham dự cuộc vui; người dự cuộc rượu chè, đình đám
reveller [01/'revələ/]	[01* dtừ]\n- người ăn chơi miệt mài
revelling [01/'revliɳ/]	như [03revelry]
revelry [01/'revlri/]	[01* dtừ]\n- sự vui chơi\n- sự ăn chơi chè chén, sự chè chén say sưa; cuộc chè chén ồn ào, cuộc truy hoan
revenant [01/'revinənt/]	[01* dtừ]\n- con ma hiện về
revendication [01/ri,vendi'kei∫n/]	[01* dtừ]\n- (chính trị) sự đòi lại, sự lấy lại được (lãnh thổ...) 
revenge [01/ri'vendʒ/]	[01* dtừ]\n- sự trả thù; hành động trả thù; ý muốn trả thù; mối thù hằn\n[02= to take revenge for something] trả thù về cái gì\n[02= to take revenge of somebody] trả thù ai\n[02= to thirst for revenge] nóng lòng trả thù\n[02= to have one's revenge] trả được thù\n[02= in revenge] để trả thù\n[02= out of revenge] vì muốn trả thù, vì thù hằn\n- (thể thao) trận đấu gỡ\n[02= to give someone his revenge] cho người nào dịp đấu một trận đấu gỡ\n[01* đtừ]\n- trả thù, báo thù, rửa hận\n[02= to revenge oneself on (upon) someone] trả thù ai\n[02= to revenge oneself for something] trả thù về cái gì\n[02= to be revenged] trả được thù\n[02= to revenge an insult] rửa nhục\n[02= to revenge someone] báo thù cho ai
revengeful [01/ri'vendʒfl/]	[01* ttừ]\n- hay báo thù; hay thù hằn; mang mối thù hằn, hiềm thù
revengefully [01/ri'vendʒfəli/]	[01* phtừ]\n- hay thù hằn; mang mối thù hằn, hiềm thù
revengefulness [01/ri'vendʒfənis/]	[01* dtừ]\n- óc trả thù; tính hay thù hằn
revengeless [01/ri'vendʒlis/]	[01* ttừ]\n- không hận thù, không báo thù, không thù oán
revenger [01/ri'vendʒə/]	[01* dtừ]\n- người trả thù, người báo thù, người rửa hận
revenging [01/ri'vendʒiη/]	[01* ttừ]\n- để trả thù
revenue [01/'revənju:/]	[01* dtừ]\n- thu nhập (quốc gia)\n- ((thường) số nhiều) lợi tức, hoa lợi (của cá nhân)\n- ngân khố quốc gia; sở thu thuế\n- (định ngữ)(thuộc) hải quan\n[02= revenue cutter] tàu hải quan (ở bờ biển chuyên bắt hàng lậu)\n[02= revenue officer] nhân viên hải quan chuyên bắt hàng lậu
revenue cutter [01/'revinju:,kʌtə/]	[01* dtừ]\n- tàu nhẹ có võ trang của hải quan để bắt hàng lậu
revenue tariff [01/'revinju: 'tærif/]	[01* dtừ]\n- bảng thuế để bảo vệ hàng nội hoá
reverb [01/ri'və:b/]	[01* dtừ]\n- thiết bị điện tử tạo nên hồi âm trong âm nhạc
reverberant [01/ri'və:bərənt/]	[01* ttừ]\n- dội lại, vang lại (tiếng) ; phản chiếu, phản xạ (ánh sáng...) 
reverberate [01/ri'və:bəreit/]	[01* đtừ]\n- dội lại, vang lại (âm thanh) ; phản chiếu, phản xạ (ánh sáng, sức nóng...)\n[02= reverberating furnace] lò phản xạ, lò lửa quặt\n- (hiếm)(+ upon) có ảnh hưởng dội lại, tác động đến (sự xúc động...)\n- (hiếm) nảy lại (quả bóng) 
reverberating [01/ri'və:bəreitiη/]	[01* ttừ]\n- vang lại; dội lại\n[02= a reverberating peal of thunder] một tiếng sét vang dội\n- lẫy lừng; vang dội (danh tiếng) 
reverberation [01/ri,və:bə'rei∫n/]	[01* dtừ]\n- sự dội lại, sự vang (âm thanh) ; sự phản chiếu, sự phản xạ (ánh sáng, sức nóng...)\n- ảnh hưởng dội lại; sự phản ứng
reverberative [01/ri'və:bərətiv/]	[01* ttừ]\n- dội lại, vang lại; phản chiếu, phản xạ\n[02= reverberative mirror] gương phản xạ
