constitution [01/,kɔnsti'tju:∫n/]	[01* dtừ]\n- hiến pháp\n- thể tạng, thể chất\n[02= to have a strong constitution] có thể chất khoẻ\n[02= to have a delicate constitution] có thể chất yếu ớt mảnh khảnh\n- tính tình, tính khí\n- sự thiết lập, sự thành lập, sự tạo thành, sự tổ chức\n[02= the constitution of a cabinet] sự thành lập một nội các
constitutional [01/,kɔnsti'tju:∫ənl/]	[01* ttừ]\n- (thuộc) hiến pháp, theo hiến pháp, đúng với hiến pháp\n[02= constitutional reform] sự sửa đổi hiến pháp\n- lập hiến\n[02= constitutional government] chính thể lập hiến\n- (thuộc) thể tạng, (thuộc) thể chất\n[02= constitutional weakness] sự yếu đuối về thể chất\n[01* dtừ]\n- sự đi dạo, sự đi tản bộ (cho khoẻ người)\n[02= to go for an hour's constitutional] đi dạo trong một tiếng đồng hồ
constitutionalism [01/,kɔnsti'tju:∫ənəlizm/]	[01* dtừ]\n- chủ nghĩa hợp hiến
constitutionalist [01/,kɔnsti'tju:∫ənəlist/]	[01* ttừ]\n- thuộc về chủ nghĩa hợp hiến\n[01* dtừ]\n- người ủng hộ chủ nghĩa hợp hiến
constitutionality [01/,kɔnsti'tju:ʃə'næliti/]	[01* dtừ]\n- tính chất lập hiến; sự hợp hiến pháp
constitutionalize [01/kɔnsti'tju:∫ənəlaiz/]	[01* ngđtừ]\n- bắt phải theo hiến pháp; hiến pháp hoá
constitutionally [01/,kɔnsti'tju:∫ənəli/]	[01* phtừ]\n- căn cứ theo hiến pháp, hợp hiến
constitutive [01/'kɔnstitju:tiv/]	[01* ttừ]\n- cấu thành, lập thành, thành lập tổ chức\n[02= the elements of the human body] những yếu tố cấu tạo thân thể con người\n- cơ bản chủ yếu
constitutively	- xem [03constitutive] 
constitutor [01/'kɔnstitju:tə/]	[01* dtừ]\n- người sáng lập, người thiết lập, người thành lập (một chính phủ, một chế độ mới) 
constrain [01/kən'strein/]	[01* ngđtừ]\n- bắt ép, ép buộc, cưỡng ép, thúc ép\n[02= to constrain someone to do something] ép buộc ai làm việc gì\n- dằn xuống, nén, chế ngự, ghìm lại\n- nhốt, giam cầm
constrainable	- xem [03constrain] 
constrained [01/kən'streind/]	[01* ttừ]\n- ngượng nghịu, bối rối, không tự nhiên\n[02= constrained voice] giọng nói không tự nhiên\n- miễn cưỡng, bị ép buộc, gượng gạo\n[02= constrained manner] vẻ miễn cưỡng\n[02= constrained smile] nụ cười gượng gạo
constrainedly [01/kən'streinidli/]	[01* phtừ]\n- gượng gạo, miễn cưỡng
constrainer	như [03constrainable]
constraint [01/kən'streint/]	[01* dtừ]\n- sự bắt ép, sự ép buộc, sự cưỡng ép, sự thúc ép\n[02= to act under constraint] hành động do bị ép buộc\n- sự đè nén, sự kiềm chế\n- sự gượng gạo, sự miễn cưỡng; sự e dè\n[02= to speak without constraint] nói không e dè\n- sự câu thúc, sự giam hãm, sự nhốt (người điên) 
constraint matrix	- (kỹ) ma trận ràng buộc
constrict [01/kən'strikt/]	[01* ngđtừ]\n- thắt lại, siết lại, bóp lại; làm co khít lại\n[02= to constrict a vein] thắt tĩnh mạch lại\n[02= to constrict a muscle] làm bắp cơ co thắt lại\n- làm thui chột, làm cằn cỗi
constricted [01/kən'striktid/]	[01* ttừ]\n- hẹp hòi nông cạn, thiển cận\n[02= a constricted outlook] cách nhìn thiển cận\n- thui chột, cằn cỗi
constriction [01/kən'strik∫n/]	[01* dtừ]\n- sự thắt, sự siết, sự co khít\n- vật thắt lại, vật eo lại
constrictive [01/kən'striktiv/]	[01* ttừ]\n- dùng để bóp nhỏ lại; sự co khít\n- co khít
constrictively	- xem [03constrict] 
constrictor [01/kən'striktə/]	[01* dtừ]\n- (phẫu) cơ co khít\n- (y) cái kẹp (dùng để mổ xẻ) 
constringe [01/kən'strindʒ/]	[01* ngđtừ]\n- rút lại, thắt, siết, làm co lại
constringency	- xem [03constringe] 
constringent [01/kən'strindʒənt/]	[01* ttừ]\n- siết lại, bó lại, bóp lại, co lại
construable [01/kən'stru:əbl/]	[01* ttừ]\n- có thể giải thích được
construct [01/kən'strʌkt/]	[01* ngđtừ]\n- làm xây dựng (nhà cửa...)\n- đặt (câu)\n- vẽ (hình) ; dựng (vở kịch) 
constructer	- xem [03construct] 
constructible	như [03constructer]
construction [01/kən'strʌk∫n/]	[01* dtừ]\n- sự xây dựng\n[02= under construction; in the course of construction] đang xây dựng, đang làm\n- vật được xây dựng\n- (ngôn) cách đặt câu; cấu trúc câu\n- sự giải thích\n[02= to put a wrong construction an someone's words] giải thích sai những lời nói của ai\n[02= to put the best construction on something] tìm những khía cạnh hay nhất để giải thích điều gì\n- (toán) sự vẽ hình, sự dựng hình\n- (định ngữ) xây dựng\n[02= construction site] công trường xây dựng
construction way [01/kən'strʌkt∫n,wei/]	[01* dtừ]\n- đường sắt tạm thời
constructional [01/kən'strʌk∫ənl/]	[01* ttừ]\n- (thuộc) sự xây dựng, (thuộc) cấu trúc, (thuộc) cơ cấu
constructionally	- xem [03construction] 
constructionist [01/kən'strʌkt∫nist/]	[01* dtừ]\n- người giải thích (pháp luật, chứng thư) 
constructive [01/kən'strʌktiv/]	[01* ttừ]\n- có tính cách xây dựng\n[02= constructive criticsm] phê bình xây dựng\n- (thuộc) kiến trúc, (thuộc) xây dựng\n- suy diễn, hiểu ngầm\n[02= a constructive denial] một sự từ chối phải hiểu ngầm, một sự từ chối khéo
constructive interference	- (kỹ) giao thoa tăng
constructively [01/kən'strʌktivli/]	[01* phtừ]\n- có tính cách xây dựng
constructiveness	- xem [03constructive] 
constructivism [01/kən'strʌktivizm/]	[01* dtừ]\n- (nghệ thuật) xu hướng tạo dựng
constructivist [01/kən'strʌktivist/]	[01* dtừ]\n- người theo xu hướng tạo dựng\n[01* ttừ]\n- theo xu hướng tạo dựng
constructivity	- tính kiến thiết
constructor [01/kən'strʌktə/]	[01* dtừ]\n- người xây dựng, kỹ sư xây dựng\n- (hàng hải) kỹ sư đóng tàu
